X,Y,Z,Intensity
5,0,0,-21.564269689620673
5,0,1,-20.073781928932608
5,0,2,20.3867783939448
5,0,3,20.73632220169776
5,0,4,20.626301941725128
5,0,5,-19.937923682793098
5,0,6,-19.973446234519194
5,0,7,-19.37210736723378
5,0,8,20.05718130515748
5,0,9,-19.4264004964892
5,1,0,-20.327389017988608
5,1,1,-20.194821046748665
5,1,2,-20.551430813385643
5,1,3,-20.34442039305239
5,1,4,20.654630593997275
5,1,5,-20.211283508160612
5,1,6,-20.27219278752151
5,1,7,19.648986525853896
5,1,8,-20.702193323906094
5,1,9,-20.326920644845593
5,2,0,-20.327389017988608
5,2,1,-20.175376964497197
5,2,2,22.79941365032417
5,2,3,-19.976399947126893
5,2,4,20.22782650320658
5,2,5,-19.796758408295254
5,2,6,-19.907415432925863
5,2,7,19.622257021903952
5,2,8,-18.712236515122807
5,2,9,-20.35505930137598
5,3,0,-20.184281781059205
5,3,1,-20.282684222421164
5,3,2,20.312530090851016
5,3,3,-19.872592021533077
5,3,4,-18.908947230457237
5,3,5,-19.010067593029827
5,3,6,-19.94085869676322
5,3,7,-19.860330474004066
5,3,8,20.801950062995253
5,3,9,19.315492935084183
5,4,0,-20.23884929273207
5,4,1,-19.69551307919324
5,4,2,-19.687916405454004
5,4,3,19.152372274860724
5,4,4,19.442699436960833
5,4,5,19.46392660479873
5,4,6,21.221380579291647
5,4,7,21.169400056309904
5,4,8,20.227758281149406
5,4,9,19.255193455689355
5,5,0,-21.55524304600007
5,5,1,18.94347766369867
5,5,2,-18.27040105922331
5,5,3,-19.314288398960564
5,5,4,19.542472187704078
5,5,5,19.858977626793425
5,5,6,-19.45591405467897
5,5,7,19.082727154812922
5,5,8,-19.52655198726254
5,5,9,19.542180344421787
5,6,0,20.16684294684702
5,6,1,18.94347766369867
5,6,2,-20.403288818128004
5,6,3,20.306253293532645
5,6,4,-20.426438086648883
5,6,5,21.302207033878833
5,6,6,-19.577527170880124
5,6,7,-19.8042578539188
5,6,8,-19.624749270965612
5,6,9,-19.14170717842479
5,7,0,19.951866906195832
5,7,1,19.91995931764736
5,7,2,20.04900187173528
5,7,3,20.212196748730435
5,7,4,20.57364666732832
5,7,5,19.383840339163037
5,7,6,19.383840339163037
5,7,7,-19.8042578539188
5,7,8,20.74113339205431
5,7,9,20.248801403758193
5,8,0,-18.74506031845978
5,8,1,19.935787320893986
5,8,2,-19.841888639169166
5,8,3,18.72716754948685
5,8,4,-20.259223163925352
5,8,5,-20.259223163925352
5,8,6,-19.848191891396006
5,8,7,-19.226394269984507
5,8,8,-19.226394269984507
5,8,9,19.881230445900748
5,9,0,18.925416947120226
5,9,1,-20.165330065930977
5,9,2,-19.949112724172693
5,9,3,20.625569853682368
5,9,4,19.416973136562437
5,9,5,19.089901608006702
5,9,6,-20.275493942814542
5,9,7,19.730578099813155
5,9,8,18.872907558486457
5,9,9,18.91764089173358
6,0,0,19.133900869941876
6,0,1,-19.442239440399852
6,0,2,-19.442239440399852
6,0,3,-19.920135970277595
6,0,4,-20.75101240714854
6,0,5,19.957294982334957
6,0,6,20.227697711820227
6,0,7,-19.44219218323017
6,0,8,21.03489003137303
6,0,9,-19.619032941903523
6,1,0,-19.549487532776674
6,1,1,-20.1815792886102
6,1,2,20.09984037722771
6,1,3,-20.446325324564107
6,1,4,-20.74499619249093
6,1,5,20.333918875573527
6,1,6,-20.173070381341276
6,1,7,19.57244396108419
6,1,8,-19.30839208619539
6,1,9,-19.50651168050613
6,2,0,-20.29241734423624
6,2,1,20.185253271824
6,2,2,20.09984037722771
6,2,3,-18.14326809278161
6,2,4,-18.29806784400754
6,2,5,-19.993679283618057
6,2,6,-20.136323018915522
6,2,7,19.622257021903952
6,2,8,-19.361641581093004
6,2,9,20.64007954126183
6,3,0,20.595244633080497
6,3,1,-19.859249725408155
6,3,2,-20.085521789189137
6,3,3,-19.953059415631245
6,3,4,20.060312551429192
6,3,5,20.060312551429192
6,3,6,19.447456059181672
6,3,7,-20.849866276183306
6,3,8,-19.361641581093004
6,3,9,20.64007954126183
6,4,0,20.8304539975946
6,4,1,-19.69551307919324
6,4,2,19.671497509252994
6,4,3,-20.033617494441625
6,4,4,-19.913390697720363
6,4,5,19.51392034915049
6,4,6,-19.90696676286391
6,4,7,16.834448237485248
6,4,8,-19.236291251733594
6,4,9,20.08006578728749
6,5,0,19.04736146310806
6,5,1,18.98098457774543
6,5,2,-19.890797589161515
6,5,3,20.235914715461423
6,5,4,-19.99312646361818
6,5,5,19.240099117781618
6,5,6,18.691178426298368
6,5,7,20.432682714636478
6,5,8,20.73477494206214
6,5,9,-18.385528727282402
6,6,0,-19.73978976528071
6,6,1,-19.698021944512718
6,6,2,-19.68355166635862
6,6,3,-19.557860777647818
6,6,4,-19.475484526006113
6,6,5,-19.796621825957054
6,6,6,18.67785922667539
6,6,7,-19.887883541385882
6,6,8,-19.638200146103692
6,6,9,-19.50412132840429
6,7,0,-18.792562480692013
6,7,1,19.91995931764736
6,7,2,20.103963585073096
6,7,3,20.475472635451894
6,7,4,-19.682825302656664
6,7,5,-19.18260388258233
6,7,6,-21.336939442229493
6,7,7,19.509075753306643
6,7,8,-19.638200146103692
6,7,9,20.067019964245684
6,8,0,-18.788239328254917
6,8,1,17.636490977484826
6,8,2,-20.209965637835936
6,8,3,18.349788009337097
6,8,4,-19.651925485420776
6,8,5,20.47586904424627
6,8,6,-20.23507368112805
6,8,7,19.746681513545184
6,8,8,-19.70892668374688
6,8,9,20.30226948531191
6,9,0,-18.694991078720058
6,9,1,19.71291726040186
6,9,2,-20.209965637835936
6,9,3,18.448064759061886
6,9,4,-19.63382987762086
6,9,5,-20.179205289945248
6,9,6,-20.29091696937339
6,9,7,-20.150398432843232
6,9,8,-19.774929937939554
6,9,9,-19.5575140105803
7,0,0,20.983023817655564
7,0,1,-19.503287488026942
7,0,2,18.76613111715522
7,0,3,-20.895497465711813
7,0,4,-19.74695340871076
7,0,5,19.8398224304837
7,0,6,19.52591085492635
7,0,7,-20.194634429661065
7,0,8,20.81476738436539
7,0,9,20.814796831074283
7,1,0,-19.326225950678342
7,1,1,19.975398649925612
7,1,2,-19.480968615721
7,1,3,-19.332220653045226
7,1,4,-20.748915349695796
7,1,5,19.77836604058736
7,1,6,-19.570684181346063
7,1,7,-20.194634429661065
7,1,8,-20.52536980756905
7,1,9,-19.369009135141635
7,2,0,-19.31329747598653
7,2,1,19.603573126898045
7,2,2,-19.410378554156708
7,2,3,19.82414723144198
7,2,4,-20.518860998948266
7,2,5,-19.836382633453226
7,2,6,20.87400713160335
7,2,7,-19.458659561245405
7,2,8,-20.01929613563793
7,2,9,20.46325178287853
7,3,0,-19.223490150057756
7,3,1,19.870352904439628
7,3,2,19.9262284952549
7,3,3,19.588853170902777
7,3,4,-20.066797527676005
7,3,5,20.106446354744328
7,3,6,-19.783020443893776
7,3,7,20.348399074843247
7,3,8,20.227519343852766
7,3,9,-19.246602065526666
7,4,0,19.810164210707626
7,4,1,-19.81810789060107
7,4,2,19.712888674489875
7,4,3,-20.072121826310024
7,4,4,-20.32454599094446
7,4,5,20.3684929964529
7,4,6,-20.05751191565258
7,4,7,-20.05751191565258
7,4,8,-19.80915670785649
7,4,9,19.785765153715367
7,5,0,19.09796974205622
7,5,1,19.755773795638532
7,5,2,20.03577126247824
7,5,3,19.934747547160956
7,5,4,-19.832389312590912
7,5,5,-18.605442302757965
7,5,6,-18.595920926324496
7,5,7,-18.60167874517043
7,5,8,-18.896547812109635
7,5,9,-19.625357456096165
7,6,0,-19.53501764431833
7,6,1,-19.17268952294325
7,6,2,20.24580158898383
7,6,3,-21.041093124173415
7,6,4,20.280021039896646
7,6,5,18.909276719121134
7,6,6,-18.595920926324496
7,6,7,18.29169950073357
7,6,8,-18.84572750015358
7,6,9,-19.698436329557996
7,7,0,19.519027570288515
7,7,1,-19.53424449167201
7,7,2,-20.419307651981395
7,7,3,-20.658913954822758
7,7,4,19.642448641430583
7,7,5,19.453875368297208
7,7,6,19.73264220836719
7,7,7,-21.926559545509477
7,7,8,20.451070114107075
7,7,9,20.451070114107075
7,8,0,-19.856424901540677
7,8,1,22.214197672238022
7,8,2,19.94476081609796
7,8,3,18.707628306084104
7,8,4,-19.63514732080763
7,8,5,19.481701732427553
7,8,6,19.735659812085895
7,8,7,19.710974036037644
7,8,8,-19.863778812838444
7,8,9,-19.58958905945428
7,9,0,-19.77896673306396
7,9,1,20.178416591767498
7,9,2,-21.51911054176118
7,9,3,18.72728821952862
7,9,4,-19.63514732080763
7,9,5,-20.089263778566675
7,9,6,-20.44938995607818
7,9,7,-20.017836161514094
7,9,8,20.159863499882547
7,9,9,-19.5575140105803
8,0,0,-19.554801665121676
8,0,1,-19.51908753852193
8,0,2,-19.5274031340715
8,0,3,20.23705098965612
8,0,4,20.545841428005126
8,0,5,20.13674250902372
8,0,6,-20.37984228925459
8,0,7,-19.296842803217928
8,0,8,18.739906839819405
8,0,9,-19.907799148090334
8,1,0,19.779789481558222
8,1,1,21.70514329319699
8,1,2,20.29696152322557
8,1,3,20.17261007367363
8,1,4,-20.51200715533161
8,1,5,-20.651375968891504
8,1,6,-19.937242190699685
8,1,7,20.322692900759332
8,1,8,20.274548576246474
8,1,9,19.640309531643638
8,2,0,-19.79337053688281
8,2,1,-19.50296017430131
8,2,2,-19.602738650931414
8,2,3,20.595478088632973
8,2,4,-19.53049050545676
8,2,5,-19.761176602781582
8,2,6,21.549402319947056
8,2,7,-19.06455088239877
8,2,8,19.66447402311541
8,2,9,19.66447402311541
8,3,0,19.49413779222261
8,3,1,-20.065009036160106
8,3,2,-19.358220551650685
8,3,3,-20.109471690760266
8,3,4,20.217121881245703
8,3,5,-19.592619171701084
8,3,6,20.294838206103567
8,3,7,20.242886784566362
8,3,8,19.685018319416596
8,3,9,-19.1889071486212
8,4,0,19.868618378705897
8,4,1,-19.762724385069454
8,4,2,19.92915867358205
8,4,3,-19.744371020479235
8,4,4,-19.709077044156246
8,4,5,-19.72879793697146
8,4,6,-19.712872698896206
8,4,7,20.42665737232028
8,4,8,-19.89003681969047
8,4,9,20.07850531959831
8,5,0,19.901257327821476
8,5,1,19.815126675207217
8,5,2,18.9517243014637
8,5,3,18.72419282582327
8,5,4,-19.997457638362743
8,5,5,21.30666442289202
8,5,6,-19.824107080092602
8,5,7,20.135265210076128
8,5,8,20.362536980152676
8,5,9,19.901257327821476
8,6,0,-20.656520252896915
8,6,1,-20.490431451617766
8,6,2,-20.85187777126243
8,6,3,-21.091194960524348
8,6,4,-20.000908556677214
8,6,5,-18.862896535762037
8,6,6,21.060621237341113
8,6,7,-21.100156473464516
8,6,8,-18.897295181255792
8,6,9,19.78908851809774
8,7,0,19.69146635547455
8,7,1,20.053775329253327
8,7,2,19.768646347252535
8,7,3,20.02052069280814
8,7,4,-19.894929752840223
8,7,5,-20.8330617830926
8,7,6,21.079754493548236
8,7,7,-21.180523429456837
8,7,8,-21.077880402289544
8,7,9,-20.0862704408798
8,8,0,19.080073408163795
8,8,1,21.83326060837652
8,8,2,19.7558917462092
8,8,3,20.19395130982838
8,8,4,-19.904120623292794
8,8,5,-19.827741735315424
8,8,6,-19.989557625164455
8,8,7,20.283291784643396
8,8,8,-19.76142796174397
8,8,9,-19.793870656888224
8,9,0,-19.629687551683773
8,9,1,-19.77819544532799
8,9,2,19.281631090407053
8,9,3,-19.859190656987245
8,9,4,19.659933441874326
8,9,5,19.727937901744582
8,9,6,19.76349740435533
8,9,7,20.23861833192558
8,9,8,20.09764810033373
8,9,9,20.30045606920659
9,0,0,-19.712616091846172
9,0,1,20.09732318702132
9,0,2,20.381264658437715
9,0,3,20.835869685354645
9,0,4,-20.293387300871842
9,0,5,19.836739242682476
9,0,6,-20.31851625294937
9,0,7,20.98545283702452
9,0,8,-19.61880190852192
9,0,9,-20.236083291423984
9,1,0,-19.849390871779136
9,1,1,-21.091618423113598
9,1,2,-20.57281990658819
9,1,3,-19.480284626482938
9,1,4,18.40139894335774
9,1,5,-20.64171193274071
9,1,6,-20.34858345550154
9,1,7,-19.993721413724508
9,1,8,20.274548576246474
9,1,9,19.67090701389153
9,2,0,-19.79337053688281
9,2,1,-18.767626213935515
9,2,2,-19.515301392285117
9,2,3,-19.518770115599548
9,2,4,-19.585389652064165
9,2,5,-20.60444250200389
9,2,6,-19.997916882903688
9,2,7,-19.997916882903688
9,2,8,19.596944315451392
9,2,9,-20.024120411155305
9,3,0,19.345319355249217
9,3,1,-20.065009036160106
9,3,2,-19.554029535555898
9,3,3,18.51475879083607
9,3,4,19.328240742001782
9,3,5,19.953350953691853
9,3,6,-19.649029732589582
9,3,7,-19.681524501193067
9,3,8,19.685018319416596
9,3,9,21.196657872717918
9,4,0,-19.134264551643412
9,4,1,19.921573081683462
9,4,2,19.952806832050864
9,4,3,20.32453843555595
9,4,4,20.32453843555595
9,4,5,-20.66870236558967
9,4,6,19.33223463627497
9,4,7,20.38133490698716
9,4,8,20.023628160143126
9,4,9,-18.759122497424677
9,5,0,19.304104102663395
9,5,1,19.815126675207217
9,5,2,19.046043353517423
9,5,3,-20.452233905279343
9,5,4,-19.99786635730262
9,5,5,21.064345330143013
9,5,6,19.95928727231721
9,5,7,20.252702446662912
9,5,8,20.204779904658793
9,5,9,-18.71415145130404
9,6,0,19.304104102663395
9,6,1,-20.024191984190786
9,6,2,18.903717920637273
9,6,3,19.21991012951044
9,6,4,-19.99786635730262
9,6,5,-19.1510078711117
9,6,6,18.477103837470473
9,6,7,-18.17726449753224
9,6,8,19.705384099480334
9,6,9,17.95107029643888
9,7,0,20.422186852708865
9,7,1,20.053775329253327
9,7,2,-19.93587150731575
9,7,3,-19.93587150731575
9,7,4,-20.15053963356118
9,7,5,19.021713994494448
9,7,6,19.020425543786107
9,7,7,18.189791876221797
9,7,8,19.89057088898911
9,7,9,20.135627838982025
9,8,0,18.706765006820355
9,8,1,-19.918388462299447
9,8,2,20.14530983019054
9,8,3,20.260318333546053
9,8,4,-20.194065953161868
9,8,5,-19.750320461816873
9,8,6,21.030306372292973
9,8,7,-20.566577286188334
9,8,8,-21.240708183636347
9,8,9,19.455600053579843
9,9,0,-19.36319435780129
9,9,1,19.72430693166265
9,9,2,-20.65565505146777
9,9,3,20.260318333546053
9,9,4,-19.946501075867754
9,9,5,20.516969420984427
9,9,6,18.774934990886745
9,9,7,-21.832432331362014
9,9,8,-20.47835001315877
9,9,9,20.089243272254247
